File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\engine\proteus\source\core\prMessage.h,106,36,24,0,18,6,52,216,16,86
D:\engine\proteus\source\core\prMessageManager.h,82,17,8,0,17,1,48,198,16,100
D:\engine\proteus\source\core\prRegistry.h,101,20,10,0,19,1,62,254,16,100
D:\engine\proteus\source\core\prResource.h,127,34,24,0,32,1,61,246,16,100
D:\engine\proteus\source\core\prResourceManager.h,194,68,38,10,33,1,93,363,16,100
D:\engine\proteus\source\core\prSingleton.h,100,52,18,6,19,3,29,159,16,86
D:\engine\proteus\source\core\prString.h,192,44,35,0,38,1,110,361,16,100
D:\engine\proteus\source\core\prStringShared.h,41,10,2,0,7,1,24,124,16,100
D:\engine\proteus\source\core\prStringUtil.h,418,41,36,0,45,1,332,1187,16,100
D:\engine\proteus\source\core\prTypes.h,141,92,77,0,24,1,25,129,15,98
D:\engine\proteus\source\core\prVersion.h,41,5,2,0,8,1,28,146,16,100
D:\engine\proteus\source\core\prVertex.h,48,15,9,0,13,1,20,113,16,100
D:\engine\proteus\source\core\prWaypoint.h,76,30,17,0,14,2,32,140,16,100
D:\engine\proteus\source\core\prWindow.h,116,27,20,0,24,8,65,268,16,86
D:\engine\proteus\source\core\prWindowProcedure.h,71,16,3,0,20,2,35,163,16,86
D:\engine\proteus\source\core\prWindow_Android.h,96,21,9,0,24,3,51,184,16,86
D:\engine\proteus\source\core\prWindow_Ios.h,95,21,9,0,24,3,50,182,16,86
D:\engine\proteus\source\core\prWindow_Linux.h,96,22,9,0,24,3,50,182,16,86
D:\engine\proteus\source\core\prWindow_PC.h,145,42,21,0,32,6,71,290,16,86
D:\engine\proteus\source\core\prList.inl,431,288,167,30,87,9,56,410,20,87
D:\engine\proteus\source\debug\prAssert.cpp,155,85,40,4,32,0,38,159,18,102
D:\engine\proteus\source\debug\prAssert_Android.cpp,139,78,40,4,28,0,33,144,18,102
D:\engine\proteus\source\debug\prAssert_Ios.cpp,138,77,40,4,28,0,33,144,18,102
D:\engine\proteus\source\debug\prAssert_Linux.cpp,124,77,40,4,28,0,19,48,3,4
D:\engine\proteus\source\debug\prConsoleWindow.cpp,198,115,59,13,43,0,40,176,18,102
D:\engine\proteus\source\debug\prDebug.cpp,137,79,21,3,33,0,25,128,18,102
D:\engine\proteus\source\debug\prFps.cpp,52,16,8,0,9,0,27,130,18,102
D:\engine\proteus\source\debug\prFps_PC.cpp,136,67,30,6,31,4,38,182,18,102
D:\engine\proteus\source\debug\prOnScreenLogger.cpp,184,108,54,15,28,0,48,188,18,102
D:\engine\proteus\source\debug\prTrace.cpp,196,111,55,11,35,5,50,246,18,102
D:\engine\proteus\source\debug\prAssert.h,187,82,18,6,39,2,66,306,16,100
D:\engine\proteus\source\debug\prConsoleWindow.h,78,21,10,0,26,2,31,158,16,100
D:\engine\proteus\source\debug\prDebug.h,81,26,2,0,22,2,33,158,16,100
D:\engine\proteus\source\debug\prDebugFont.h,17500,17482,2,0,3,0,15,98,15,98
D:\engine\proteus\source\debug\prFps.h,75,22,14,0,19,1,34,152,16,86
D:\engine\proteus\source\debug\prFps_PC.h,64,20,11,0,16,1,28,127,16,86
D:\engine\proteus\source\debug\prOnScreenLogger.h,87,23,12,0,21,1,43,166,16,86
D:\engine\proteus\source\debug\prTrace.h,87,15,5,0,16,1,56,282,16,100
D:\engine\proteus\source\display\prBackground.cpp,306,188,107,15,57,0,61,241,18,102
D:\engine\proteus\source\display\prBackgroundManager.cpp,129,69,25,8,23,0,37,165,18,102
D:\engine\proteus\source\display\prBitmapFont.cpp,1038,746,481,73,175,7,117,369,18,102
D:\engine\proteus\source\display\prCamera.cpp,194,97,33,2,44,0,53,184,18,102
D:\engine\proteus\source\display\prCameraManager.cpp,234,133,70,15,48,0,53,223,18,102
D:\engine\proteus\source\display\prColour.cpp,64,31,23,2,11,0,22,114,18,102
D:\engine\proteus\source\display\prFadeManager.cpp,267,165,82,10,46,0,56,215,18,102
D:\engine\proteus\source\display\prFixedWidthFont.cpp,320,200,124,12,63,0,57,204,18,102
D:\engine\proteus\source\display\prGLFont.cpp,234,136,62,7,46,1,52,224,18,102
D:\engine\proteus\source\display\prLookAt.cpp,222,133,90,4,45,1,44,209,18,102
D:\engine\proteus\source\display\prOglUtils.cpp,224,143,72,17,44,0,37,175,18,102
D:\engine\proteus\source\display\prPerspective.cpp,114,44,11,0,19,0,51,381,46,359
D:\engine\proteus\source\display\prRenderer.cpp,55,19,8,1,9,0,27,125,18,102
D:\engine\proteus\source\display\prRenderer_GL11.cpp,765,455,294,7,164,8,146,473,21,108
D:\engine\proteus\source\display\prSprite.cpp,561,321,191,31,117,0,123,410,18,102
D:\engine\proteus\source\display\prSpriteAnimation.cpp,162,85,43,13,32,0,45,189,18,102
D:\engine\proteus\source\display\prSpriteAnimationSequence.cpp,257,156,96,17,43,0,58,234,18,102
D:\engine\proteus\source\display\prSpriteManager.cpp,565,343,179,38,103,0,119,418,18,102
D:\engine\proteus\source\display\prTexture.cpp,662,483,271,45,91,1,88,291,18,102
D:\engine\proteus\source\display\prBackground.h,161,57,39,0,38,1,66,270,16,100
D:\engine\proteus\source\display\prBackgroundManager.h,91,21,12,0,24,1,46,205,16,100
D:\engine\proteus\source\display\prBitmapFont.h,126,34,17,0,25,1,67,261,16,100
D:\engine\proteus\source\display\prCamera.h,123,36,26,0,32,1,55,216,16,100
D:\engine\proteus\source\display\prCameraManager.h,106,25,17,0,26,1,55,207,16,100
D:\engine\proteus\source\display\prColour.h,107,47,34,0,21,12,39,219,16,100
D:\engine\proteus\source\display\prFadeManager.h,149,46,25,0,33,1,70,243,16,100
D:\engine\proteus\source\display\prFixedWidthFont.h,152,43,30,0,26,1,83,308,16,100
D:\engine\proteus\source\display\prGLFont.h,97,24,12,0,25,2,48,214,16,100
D:\engine\proteus\source\display\prLookAt.h,66,6,1,0,7,1,53,386,51,380
D:\engine\proteus\source\display\prOglUtils.h,60,13,4,0,15,1,32,175,16,100
D:\engine\proteus\source\display\prPerspective.h,58,4,1,0,7,1,47,355,45,344
D:\engine\proteus\source\display\prPvr.h,48,20,15,0,10,14,18,169,16,100
D:\engine\proteus\source\display\prRenderer.h,247,46,37,0,41,1,160,572,16,100
D:\engine\proteus\source\display\prRenderer_GL11.h,214,34,28,0,34,1,146,523,16,100
D:\engine\proteus\source\display\prSplash.h,2208,2190,2,0,3,0,15,98,15,98
D:\engine\proteus\source\display\prSprite.h,343,97,77,0,72,12,174,601,16,100
D:\engine\proteus\source\display\prSpriteAnimation.h,151,46,23,0,31,4,74,370,16,100
D:\engine\proteus\source\display\prSpriteAnimationSequence.h,149,48,34,1,34,14,67,314,16,100
D:\engine\proteus\source\display\prSpriteManager.h,190,51,37,0,39,4,100,399,22,136
D:\engine\proteus\source\display\prTexture.h,118,38,28,0,35,1,45,199,16,100
D:\engine\proteus\source\file\prFile.cpp,651,400,228,41,117,14,134,519,18,108
D:\engine\proteus\source\file\prFileManager.cpp,746,479,260,48,134,0,133,652,18,102
D:\engine\proteus\source\file\prFileShared.cpp,43,14,9,2,8,0,21,110,18,102
D:\engine\proteus\source\file\prFileSystem.cpp,377,245,129,49,79,0,53,237,18,102
D:\engine\proteus\source\file\prFile.h,99,30,21,0,26,1,43,197,16,100
D:\engine\proteus\source\file\prFileManager.h,142,47,32,0,30,14,65,294,16,100
D:\engine\proteus\source\file\prFileShared.h,174,77,51,0,40,23,57,320,16,100
D:\engine\proteus\source\file\prFileSystem.h,71,13,9,0,25,1,33,170,16,100
D:\engine\proteus\source\gui\prButton.cpp,242,135,76,15,44,0,63,213,18,102
D:\engine\proteus\source\gui\prGui.cpp,252,151,79,23,39,0,62,212,18,102
D:\engine\proteus\source\gui\prWidget.cpp,66,28,15,1,11,0,27,121,18,102
D:\engine\proteus\source\gui\prButton.h,118,53,36,0,28,1,37,150,16,100
D:\engine\proteus\source\gui\prButtonListener.h,45,9,4,0,8,1,28,148,16,100
D:\engine\proteus\source\gui\prGui.h,129,30,20,0,25,1,74,259,16,100
D:\engine\proteus\source\gui\prWidget.h,195,54,38,0,44,1,97,316,16,100
D:\engine\proteus\source\inAppPurchase\prInAppPurchase.cpp,343,211,107,28,65,0,67,235,18,102
D:\engine\proteus\source\inAppPurchase\prStore.cpp,77,26,12,1,15,0,36,149,18,102
D:\engine\proteus\source\inAppPurchase\prStore_android.cpp,70,21,7,0,17,1,32,135,18,102
D:\engine\proteus\source\inAppPurchase\prStore_bada.cpp,68,21,7,0,17,1,30,132,18,102
D:\engine\proteus\source\inAppPurchase\prStore_ios.cpp,121,28,10,1,26,1,67,225,18,102
D:\engine\proteus\source\inAppPurchase\prStore_linux.cpp,70,21,7,0,17,1,32,135,18,102
D:\engine\proteus\source\inAppPurchase\prStore_pc.cpp,68,21,7,0,17,1,30,132,18,102
D:\engine\proteus\source\inAppPurchase\prInAppPurchase.h,107,34,22,0,27,1,46,187,16,100
D:\engine\proteus\source\inAppPurchase\prStore.h,77,20,12,0,22,1,35,151,16,100
D:\engine\proteus\source\inAppPurchase\prStore_android.h,57,13,7,0,14,1,30,133,16,100
D:\engine\proteus\source\inAppPurchase\prStore_bada.h,57,13,7,0,14,1,30,133,16,100
D:\engine\proteus\source\inAppPurchase\prStore_ios.h,65,15,9,0,16,1,34,145,16,100
D:\engine\proteus\source\inAppPurchase\prStore_linux.h,58,14,7,0,14,1,30,133,16,100
D:\engine\proteus\source\inAppPurchase\prStore_pc.h,57,13,7,0,14,1,30,133,16,100
D:\engine\proteus\source\inAppPurchase\prTransactionResult.h,58,20,7,0,13,1,25,146,16,100
D:\engine\proteus\source\input\prMouse.cpp,207,110,64,9,43,0,54,233,18,102
D:\engine\proteus\source\input\prTouch.cpp,610,393,254,20,105,0,112,349,18,102
D:\engine\proteus\source\input\prMouse.h,281,93,42,0,58,19,130,607,16,100
D:\engine\proteus\source\input\prTouch.h,168,45,30,0,31,2,92,380,16,100
D:\engine\proteus\source\input\prTouchListener.h,64,11,5,0,11,1,42,161,16,100
D:\engine\proteus\source\ios\prIos.h,44,10,3,0,12,1,22,121,16,100
D:\engine\proteus\source\ios\prIosAudio.h,41,6,4,0,11,1,24,124,16,100
D:\engine\proteus\source\libzip\config.h,98,26,0,0,31,0,41,358,5,36
D:\engine\proteus\source\libzip\zip.h,231,154,57,0,34,72,43,622,0,0
D:\engine\proteus\source\libzip\zipint.h,265,166,116,1,57,57,42,577,0,0
D:\engine\proteus\source\linux\prLinuxInput.cpp,74,35,18,6,17,1,22,119,18,102
D:\engine\proteus\source\linux\prLinux.h,56,14,5,0,18,1,24,120,18,98
D:\engine\proteus\source\linux\prLinuxInput.h,42,11,2,0,13,1,18,110,16,100
D:\engine\proteus\source\locale\prLanguage.cpp,406,228,131,33,63,0,115,369,18,102
D:\engine\proteus\source\locale\prLocales.cpp,225,140,78,24,44,0,41,180,18,102
D:\engine\proteus\source\locale\prLanguage.h,141,54,30,2,29,6,58,256,16,86
D:\engine\proteus\source\locale\prLocales.h,65,23,6,0,12,9,30,160,26,127
D:\engine\proteus\source\lua\lapi.h,25,11,2,0,9,0,5,22,5,22
D:\engine\proteus\source\lua\lauxlib.h,213,113,62,0,70,6,30,127,5,23
D:\engine\proteus\source\lua\lcode.h,84,55,37,0,17,0,12,64,5,21
D:\engine\proteus\source\lua\lctype.h,96,39,1,0,32,3,25,122,5,21
D:\engine\proteus\source\lua\ldebug.h,35,17,6,0,12,0,6,30,5,23
D:\engine\proteus\source\lua\ldo.h,47,26,14,0,15,0,6,33,5,23
D:\engine\proteus\source\lua\lfunc.h,34,18,9,0,11,0,5,24,5,24
D:\engine\proteus\source\lua\lgc.h,158,77,19,0,40,8,41,343,5,19
D:\engine\proteus\source\lua\llex.h,79,46,32,0,19,13,14,119,5,19
D:\engine\proteus\source\lua\llimits.h,310,155,20,0,93,12,62,432,5,25
D:\engine\proteus\source\lua\lmem.h,58,29,3,1,16,0,13,69,5,21
D:\engine\proteus\source\lua\lobject.h,608,314,152,0,171,52,123,782,5,22
D:\engine\proteus\source\lua\lopcodes.h,289,124,8,0,77,47,88,853,5,22
D:\engine\proteus\source\lua\lparser.h,120,81,58,0,25,46,14,314,5,19
D:\engine\proteus\source\lua\lstate.h,229,139,101,0,41,66,49,653,5,19
D:\engine\proteus\source\lua\lstring.h,47,20,7,0,16,0,11,45,5,25
D:\engine\proteus\source\lua\ltable.h,46,27,14,0,13,0,6,31,5,20
D:\engine\proteus\source\lua\ltm.h,58,34,6,0,15,2,9,48,5,19
D:\engine\proteus\source\lua\lua.h,445,222,118,0,117,15,106,458,6,31
D:\engine\proteus\source\lua\luaconf.h,552,184,0,0,125,44,243,1587,5,21
D:\engine\proteus\source\lua\lualib.h,56,27,11,0,23,0,6,25,5,20
D:\engine\proteus\source\lua\lundump.h,29,10,3,0,9,0,10,53,5,21
D:\engine\proteus\source\lua\lvm.h,45,25,12,0,14,0,6,25,5,20
D:\engine\proteus\source\lua\lzio.h,66,34,17,0,26,7,6,53,5,19
D:\engine\proteus\source\lua\lua.hpp,10,5,1,0,2,0,3,17,3,17
D:\engine\proteus\source\math\prMathsUtil.cpp,136,64,31,2,37,14,35,309,18,102
D:\engine\proteus\source\math\prRandom.cpp,97,43,24,8,21,0,33,185,18,102
D:\engine\proteus\source\math\prRect.cpp,192,110,41,9,31,0,51,205,18,102
D:\engine\proteus\source\math\prRectF.cpp,213,125,45,13,34,0,54,223,18,102
D:\engine\proteus\source\math\prVector2.cpp,46,16,9,1,9,0,21,114,18,102
D:\engine\proteus\source\math\prVector3.cpp,47,17,10,1,9,0,21,114,18,102
D:\engine\proteus\source\math\prMathsUtil.h,166,88,45,10,28,9,50,267,16,100
D:\engine\proteus\source\math\prPoint.h,102,34,16,0,26,1,42,189,16,100
D:\engine\proteus\source\math\prRandom.h,47,8,4,0,15,1,24,145,16,100
D:\engine\proteus\source\math\prRect.h,197,37,27,0,33,1,127,355,16,86
D:\engine\proteus\source\math\prRectF.h,211,40,29,0,35,1,136,382,16,86
D:\engine\proteus\source\math\prVector2.h,137,52,32,0,39,5,46,191,16,86
D:\engine\proteus\source\math\prVector3.h,148,58,36,0,39,6,51,209,16,86
D:\engine\proteus\source\math\prVector2.inl,154,69,38,15,32,0,53,144,19,86
D:\engine\proteus\source\math\prVector3.inl,180,85,46,17,36,0,59,156,19,86
D:\engine\proteus\source\memory\prMemory.cpp,183,98,48,3,47,0,38,148,20,105
D:\engine\proteus\source\memory\prSpritePointerPool.cpp,293,175,100,27,52,0,66,297,18,102
D:\engine\proteus\source\memory\prMemory.h,103,25,8,0,23,4,55,308,16,100
D:\engine\proteus\source\memory\prMemoryPool.h,181,95,54,6,32,6,54,280,16,100
D:\engine\proteus\source\memory\prSpritePointerPool.h,157,31,21,0,29,6,97,474,16,100
D:\engine\proteus\source\online\prWeb_android.cpp,60,16,4,1,15,0,29,129,18,102
D:\engine\proteus\source\online\prWeb_bada.cpp,92,42,21,4,21,0,29,129,18,102
D:\engine\proteus\source\online\prWeb_ios.cpp,62,16,4,1,17,0,29,132,18,102
D:\engine\proteus\source\online\prWeb_pc.cpp,60,18,5,1,15,0,27,126,18,102
D:\engine\proteus\source\online\prWeb.h,46,10,5,0,9,1,27,129,16,100
D:\engine\proteus\source\particle\prParticle.cpp,38,7,2,0,7,0,24,114,18,102
D:\engine\proteus\source\particle\prParticleManager.cpp,38,7,2,0,7,0,24,114,18,102
D:\engine\proteus\source\particle\prParticle.h,40,9,4,0,10,1,21,109,16,100
D:\engine\proteus\source\particle\prParticleManager.h,42,9,4,0,10,1,23,120,16,100
D:\engine\proteus\source\persistence\prEncryption.cpp,140,98,20,4,15,0,27,126,18,102
D:\engine\proteus\source\persistence\prSave.cpp,484,307,158,32,91,9,86,289,18,102
D:\engine\proteus\source\persistence\prSaveBase.cpp,86,43,33,0,13,0,30,128,18,102
D:\engine\proteus\source\persistence\prSave_android.cpp,405,263,155,41,73,0,69,229,18,102
D:\engine\proteus\source\persistence\prSave_bada.cpp,399,256,149,40,74,0,69,229,18,102
D:\engine\proteus\source\persistence\prSave_ios.cpp,402,259,149,40,74,0,69,229,18,102
D:\engine\proteus\source\persistence\prSave_linux.cpp,406,260,152,41,73,1,73,238,18,102
D:\engine\proteus\source\persistence\prSave_pc.cpp,426,272,156,42,78,0,76,251,18,102
D:\engine\proteus\source\persistence\prEncryption.h,36,6,2,0,10,1,20,115,16,100
D:\engine\proteus\source\persistence\prSave.h,156,42,27,0,33,1,81,383,16,100
D:\engine\proteus\source\persistence\prSaveBase.h,97,29,22,0,24,1,44,167,16,100
D:\engine\proteus\source\persistence\prSave_android.h,91,26,15,0,28,1,37,168,16,100
D:\engine\proteus\source\persistence\prSave_bada.h,91,26,15,0,28,1,37,168,16,100
D:\engine\proteus\source\persistence\prSave_ios.h,91,26,15,0,28,1,37,168,16,100
D:\engine\proteus\source\persistence\prSave_linux.h,91,26,15,0,28,1,37,168,16,100
D:\engine\proteus\source\persistence\prSave_pc.h,92,26,15,0,29,1,37,168,16,100
D:\engine\proteus\source\thread\prMutex.cpp,117,48,13,1,27,0,42,171,18,102
D:\engine\proteus\source\thread\prMutex.h,81,29,8,0,24,1,28,139,16,100
D:\engine\proteus\source\thread\prThread.h,16,12,6,0,4,1,0,8,0,8
D:\engine\proteus\source\tinyxml\tinystr.cpp,112,69,48,8,19,1,24,142,22,134
D:\engine\proteus\source\tinyxml\tinyxml.cpp,1818,1378,843,328,328,13,112,737,23,140
D:\engine\proteus\source\tinyxml\tinyxmlerror.cpp,53,20,2,0,4,0,29,181,23,145
D:\engine\proteus\source\tinyxml\tinyxmlparser.cpp,1638,1231,708,293,189,42,218,1630,23,140
D:\engine\proteus\source\tinyxml\tinystr.h,306,173,100,19,58,5,75,514,22,134
D:\engine\proteus\source\tinyxml\tinyxml.h,1809,804,530,45,260,93,745,5558,23,140
D:\engine\proteus\source\tool\AntTweakBar.h,379,278,105,0,51,30,50,389,17,62
D:\engine\proteus\source\utf8proc\utf8proc.cpp,589,514,298,134,28,0,47,331,36,243
D:\engine\proteus\source\utf8proc\utf8proc.h,386,157,40,0,28,0,201,1600,46,354
D:\engine\proteus\source\utf8proc\utf8proc_data.h,13384,13334,5628,0,8,0,42,379,42,379
D:\engine\proteus\source\util\prFill.cpp,191,157,89,11,24,1,10,21,0,0
D:\engine\proteus\source\util\prFill.h,18,7,3,0,11,1,0,1,0,0
D:\engine\proteus\source\zlib\crc32.h,442,437,10,0,2,0,3,13,3,13
D:\engine\proteus\source\zlib\deflate.h,347,155,95,0,65,53,127,1351,9,57
D:\engine\proteus\source\zlib\inffast.h,12,1,1,0,3,0,8,56,8,56
D:\engine\proteus\source\zlib\inffixed.h,95,84,548,0,4,0,7,42,7,42
D:\engine\proteus\source\zlib\inflate.h,123,73,38,0,6,66,44,749,12,97
D:\engine\proteus\source\zlib\inftrees.h,63,16,8,0,7,3,40,418,21,215
D:\engine\proteus\source\zlib\trees.h,129,120,966,0,8,0,1,6,1,6
D:\engine\proteus\source\zlib\zconf.h,512,403,16,0,46,22,63,589,5,30
D:\engine\proteus\source\zlib\zlib.h,1769,279,134,0,122,35,1368,11661,29,193
D:\engine\proteus\source\zlib\zutil.h,254,183,26,1,43,13,28,253,9,62
